No,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5,pm2.5_pre
37,-8,-5,1026,SE,23.69,0,0,148,148
38,-8,-5,1025,SE,27.71,0,0,164,164
39,-9,-5,1025,SE,31.73,0,0,158,158
40,-9,-5,1025,SE,35.75,0,0,154,154
41,-9,-5,1026,SE,37.54,0,0,159,159
42,-8,-5,1027,SE,39.33,0,0,164,164
43,-8,-5,1027,SE,42.46,0,0,170,170
44,-8,-5,1028,SE,44.25,0,0,149,149
45,-7,-5,1028,SE,46.04,0,0,154,154
46,-7,-5,1027,SE,49.17,1,0,164,164
47,-8,-6,1028,SE,52.3,2,0,156,156
48,-8,-6,1027,SE,55.43,3,0,126,126
49,-7,-6,1027,SE,58.56,4,0,90,90
50,-8,-6,1026,SE,61.69,5,0,63,63
51,-8,-7,1026,SE,65.71,6,0,65,65
52,-8,-7,1025,SE,68.84,7,0,55,55
53,-8,-7,1024,SE,72.86,8,0,65,65
54,-9,-8,1024,SE,76.88,9,0,83,83
55,-10,-8,1024,SE,80.9,10,0,91,91
56,-10,-9,1024,SE,84.92,11,0,86,86
57,-10,-9,1024,SE,89.84,12,0,82,82
58,-11,-9,1023,SE,93.86,13,0,86,86
59,-11,-9,1023,SE,97.88,15,0,78,78
60,-11,-9,1022,SE,102.8,16,0,98,98
61,-11,-9,1021,SE,105.93,17,0,107,107
62,-11,-9,1020,SE,111.74,19,0,90,90
63,-11,-9,1020,SE,116.66,20,0,96,96
64,-11,-9,1020,SE,121.58,21,0,95,95
65,-11,-9,1020,SE,124.71,22,0,86,86
66,-11,-9,1020,SE,127.84,23,0,70,70
67,-11,-9,1021,cv,0.89,24,0,61,61
68,-11,-9,1022,cv,1.78,25,0,53,53
69,-10,-9,1022,NW,4.02,26,0,71,71
70,-11,-10,1023,NW,7.15,27,0,72,72
71,-11,-9,1023,NW,11.17,0,0,76,76
72,-12,-11,1023,NW,14.3,0,0,73,73
73,-14,-12,1023,NW,16.09,0,0,79,79
74,-16,-9,1023,NW,21.9,0,0,58,58
75,-17,-10,1024,NW,29.95,0,0,25,25
76,-18,-11,1024,NW,39.78,0,0,26,26
77,-19,-11,1025,NW,48.72,0,0,28,28
78,-20,-12,1026,NW,55.87,0,0,26,26
79,-21,-12,1027,NW,64.81,0,0,20,20
80,-21,-13,1027,NW,73.75,0,0,29,29
81,-22,-13,1028,NW,80.9,0,0,26,26
82,-22,-13,1029,NW,90.73,0,0,27,27
83,-22,-12,1030,NW,100.56,0,0,27,27
84,-23,-12,1031,NW,108.61,0,0,25,25
85,-21,-11,1030,NW,117.55,0,0,29,29
86,-20,-10,1030,NW,127.38,0,0,32,32
87,-21,-10,1030,NW,136.32,0,0,28,28
88,-21,-9,1030,NW,145.26,0,0,29,29
89,-21,-9,1031,NW,152.41,0,0,30,30
90,-20,-11,1032,NW,159.56,0,0,30,30
91,-23,-11,1032,NW,165.37,0,0,28,28
92,-21,-12,1033,NW,171.18,0,0,26,26
93,-24,-12,1034,NW,180.12,0,0,31,31
94,-24,-13,1034,NW,187.27,0,0,33,33
95,-24,-13,1035,NW,195.32,0,0,29,29
96,-26,-15,1035,NW,198.45,0,0,31,31
97,-26,-17,1035,NW,201.58,0,0,30,30
98,-26,-18,1035,NW,205.6,0,0,34,34
99,-26,-19,1035,NW,208.73,0,0,27,27
100,-27,-18,1035,NW,213.65,0,0,25,25
101,-27,-19,1035,NW,218.57,0,0,28,28
102,-27,-16,1034,NE,4.92,0,0,28,28
103,-26,-16,1035,NE,8.05,0,0,27,27
104,-27,-16,1034,NE,13.86,0,0,27,27
105,-26,-16,1035,NE,18.78,0,0,27,27
106,-26,-15,1035,NE,24.59,0,0,29,29
107,-25,-14,1035,NE,29.51,0,0,36,36
108,-25,-13,1035,NE,34.43,0,0,30,30
109,-25,-12,1034,NE,39.35,0,0,27,27
110,-24,-11,1032,NE,41.14,0,0,39,39
111,-22,-11,1032,cv,0.89,0,0,41,41
112,-23,-11,1031,NW,1.79,0,0,33,33
113,-24,-11,1031,NW,3.58,0,0,50,50
114,-23,-11,1031,NW,5.37,0,0,56,56
115,-23,-11,1032,NW,7.16,0,0,59,59
116,-22,-13,1033,NW,10.29,0,0,60,60
117,-22,-12,1033,NW,13.42,0,0,84,84
118,-24,-18,1033,NW,16.55,0,0,106,106
119,-22,-13,1034,NW,20.57,0,0,66,66
120,-22,-16,1033,NW,23.7,0,0,50,50
121,-25,-17,1033,NW,26.83,0,0,56,56
122,-25,-14,1033,NE,4.02,0,0,77,77
123,-26,-14,1034,NE,8.04,0,0,50,50
124,-26,-14,1033,NE,13.85,0,0,44,44
125,-26,-14,1033,NE,17.87,0,0,27,27
126,-26,-14,1033,NE,23.68,0,0,28,28
127,-26,-14,1033,NE,28.6,0,0,21,21
128,-26,-15,1034,NE,33.52,0,0,25,25
129,-26,-14,1034,NE,39.33,0,0,20,20
130,-25,-13,1035,NE,44.25,0,0,29,29
131,-25,-12,1035,NE,50.06,0,0,34,34
132,-24,-11,1035,NE,54.98,0,0,42,42
133,-24,-10,1034,NE,59,0,0,28,28
134,-22,-10,1033,NW,4.02,0,0,36,36
135,-22,-9,1033,NW,5.81,0,0,48,48
136,-22,-8,1033,cv,0.89,0,0,49,49
137,-22,-8,1033,NW,1.79,0,0,52,52
138,-21,-9,1033,NW,3.58,0,0,56,56
139,-22,-9,1033,NW,5.37,0,0,96,96
140,-22,-14,1034,cv,0.89,0,0,75,75
141,-22,-12,1035,NW,1.79,0,0,105,105
142,-21,-14,1034,NW,3.58,0,0,132,132
143,-22,-16,1035,NW,5.37,0,0,93,93
144,-21,-16,1035,NW,7.16,0,0,131,131
145,-21,-16,1035,NW,8.95,0,0,127,127
146,-21,-16,1035,cv,0.45,0,0,130,130
147,-22,-18,1036,cv,1.34,0,0,43,43
148,-23,-15,1036,NW,4.02,0,0,37,37
149,-24,-16,1035,NW,7.15,0,0,30,30
150,-25,-15,1035,NW,10.28,0,0,28,28
151,-24,-15,1035,NW,14.3,0,0,24,24
152,-25,-13,1036,NE,4.92,0,0,23,23
153,-24,-14,1036,NW,4.02,0,0,24,24
154,-23,-12,1036,NW,8.94,0,0,27,27
155,-22,-11,1036,NW,12.96,0,0,40,40
156,-20,-10,1036,NW,16.09,0,0,42,42
157,-21,-9,1035,NW,19.22,0,0,42,42
158,-21,-8,1034,NW,21.01,0,0,55,55
159,-20,-7,1033,NW,22.8,0,0,52,52
160,-20,-7,1032,NW,24.59,0,0,51,51
161,-18,-8,1032,NW,26.38,0,0,57,57
162,-19,-9,1032,NW,28.17,0,0,50,50
163,-19,-11,1032,NE,0.89,0,0,54,54
164,-18,-11,1033,NW,1.79,0,0,67,67
165,-19,-15,1032,NE,1.79,0,0,106,106
166,-19,-14,1032,cv,0.45,0,0,159,159
167,-21,-14,1032,cv,1.34,0,0,198,198
168,-21,-16,1032,cv,2.23,0,0,190,190
169,-21,-17,1031,NW,1.79,0,0,210,210
170,-19,-16,1031,NW,3.58,0,0,195,195
171,-20,-16,1031,NE,0.89,0,0,275,275
172,-19,-15,1030,SE,0.89,0,0,164,164
173,-18,-15,1030,cv,0.45,0,0,110,110
174,-18,-15,1029,cv,1.34,0,0,100,100
175,-18,-15,1029,NW,1.79,0,0,81,81
176,-16,-13,1029,NE,0.89,0,0,71,71
177,-16,-12,1029,SE,0.89,0,0,66,66
178,-16,-12,1030,SE,1.78,0,0,92,92
179,-17,-10,1030,NE,0.89,0,0,135,135
180,-16,-10,1029,cv,0.89,0,0,155,155
181,-16,-9,1028,SE,3.13,0,0,198,198
182,-15,-8,1026,SE,4.92,0,0,250,250
183,-16,-8,1026,cv,0.89,0,0,200,200
184,-16,-8,1025,cv,1.78,0,0,231,231
185,-16,-8,1025,cv,2.67,0,0,250,250
186,-17,-8,1025,SE,0.89,0,0,212,212
187,-17,-9,1026,cv,0.45,0,0,219,219
188,-17,-11,1026,cv,1.34,0,0,227,227
189,-17,-12,1026,cv,1.79,0,0,226,226
190,-18,-14,1027,NW,1.79,0,0,225,225
191,-16,-9,1027,NW,4.92,0,0,168,168
192,-16,-11,1027,NW,6.71,0,0,169,169
193,-17,-13,1027,cv,0.89,0,0,165,165
194,-17,-13,1027,NW,3.13,0,0,159,159
195,-17,-14,1027,NW,4.92,0,0,167,167
196,-17,-15,1027,NW,8.05,0,0,196,196
197,-17,-13,1027,NW,9.84,0,0,169,169
198,-19,-16,1027,NW,13.86,0,0,155,155
199,-18,-15,1027,NW,17.88,0,0,119,119
200,-19,-15,1027,NW,21.9,0,0,106,106
201,-18,-14,1028,NW,25.92,0,0,93,93
202,-18,-9,1029,NE,5.81,0,0,84,84
203,-17,-7,1029,NE,11.62,0,0,73,73
204,-17,-6,1030,NE,17.43,0,0,66,66
205,-16,-6,1029,NE,23.24,0,0,40,40
206,-16,-5,1029,NE,28.16,0,0,49,49
207,-15,-4,1029,NE,33.08,0,0,50,50
208,-14,-4,1028,NE,37.1,0,0,49,49
209,-15,-4,1029,NE,38.89,0,0,41,41
210,-15,-4,1030,NW,1.79,0,0,37,37
211,-15,-7,1030,NE,3.13,0,0,45,45
212,-15,-6,1031,NW,3.13,0,0,44,44
213,-15,-7,1032,NW,4.92,0,0,54,54
214,-15,-6,1032,NE,3.13,0,0,50,50
215,-15,-8,1033,cv,0.45,0,0,47,47
216,-15,-8,1033,cv,0.9,0,0,66,66
217,-15,-11,1033,NW,0.89,0,0,75,75
218,-17,-13,1033,NW,1.78,0,0,82,82
219,-17,-12,1033,NW,4.91,0,0,66,66
220,-17,-13,1033,NW,8.04,0,0,83,83
221,-19,-14,1032,NW,9.83,0,0,62,62
222,-18,-13,1032,NW,12.96,0,0,40,40
223,-19,-13,1032,NW,16.09,0,0,23,23
224,-19,-14,1033,NW,19.22,0,0,25,25
225,-19,-14,1034,NW,22.35,0,0,27,27
226,-17,-12,1033,NW,24.14,0,0,35,35
227,-16,-7,1033,NE,4.02,0,0,50,50
228,-15,-7,1033,NW,3.13,0,0,70,70
229,-15,-7,1032,NW,6.26,0,0,75,75
230,-14,-6,1031,NW,9.39,0,0,58,58
231,-14,-6,1031,NW,12.52,0,0,70,70
232,-13,-5,1030,NW,14.31,0,0,68,68
233,-14,-5,1031,NW,16.1,0,0,71,71
234,-14,-6,1031,NW,19.23,0,0,88,88
235,-13,-7,1032,NW,23.25,0,0,84,84
236,-15,-6,1032,NW,27.27,0,0,83,83
237,-15,-6,1033,NW,30.4,0,0,66,66
238,-15,-4,1034,NW,35.32,0,0,27,27
239,-16,-4,1034,NW,44.26,0,0,24,24
240,-17,-5,1035,NW,52.31,0,0,22,22
241,-17,-6,1035,NW,60.36,0,0,23,23
242,-17,-8,1035,cv,0.89,0,0,27,27
243,-19,-11,1036,NW,4.02,0,0,23,23
244,-20,-11,1036,NW,8.94,0,0,17,17
245,-21,-11,1035,NE,4.02,0,0,17,17
246,-22,-12,1035,NW,3.13,0,0,16,16
247,-22,-12,1035,NE,4.92,0,0,16,16
248,-22,-13,1036,NW,5.81,0,0,20,20
249,-22,-9,1036,NW,13.86,0,0,20,20
250,-22,-10,1036,NW,21.91,0,0,18,18
251,-22,-9,1036,NW,29.06,0,0,25,25
252,-21,-9,1036,NW,33.08,0,0,26,26
253,-20,-6,1035,NW,42.02,0,0,27,27
254,-19,-5,1034,NW,50.96,0,0,28,28
255,-19,-5,1033,NW,59.01,0,0,15,15
256,-20,-5,1033,NW,66.16,0,0,24,24
257,-20,-5,1032,NW,71.97,0,0,13,13
258,-20,-5,1033,NW,76.89,0,0,13,13
259,-20,-7,1033,NW,81.81,0,0,13,13
260,-22,-7,1033,NW,85.83,0,0,17,17
261,-22,-8,1033,NW,89.85,0,0,20,20
262,-23,-10,1033,NW,91.64,0,0,27,27
263,-23,-13,1033,NW,93.43,0,0,20,20
264,-22,-12,1032,cv,0.89,0,0,15,15
265,-22,-15,1031,cv,1.78,0,0,21,21
266,-22,-14,1031,NE,1.79,0,0,21,21
267,-22,-14,1031,NW,0.89,0,0,37,37
268,-24,-18,1030,NE,1.79,0,0,26,26
269,-24,-13,1030,NE,3.58,0,0,15,15
270,-25,-14,1030,NW,3.13,0,0,9,9
271,-24,-14,1030,NW,7.15,0,0,11,11
272,-25,-12,1030,NW,12.96,0,0,11,11
273,-26,-14,1030,NW,16.98,0,0,16,16
274,-25,-12,1031,NW,21,0,0,13,13
275,-25,-11,1031,NW,26.81,0,0,15,15
276,-24,-11,1030,NW,35.75,0,0,21,21
277,-23,-11,1029,NW,47.82,0,0,24,24
278,-22,-11,1029,NW,63.02,0,0,22,22
279,-23,-11,1029,NW,75.98,0,0,22,22
280,-22,-11,1029,NW,88.05,0,0,22,22
281,-23,-11,1030,NW,101.01,0,0,19,19
282,-24,-11,1030,NW,109.06,0,0,23,23
283,-24,-11,1032,NW,118,0,0,25,25
284,-23,-11,1032,NW,126.05,0,0,25,25
285,-23,-12,1032,NW,134.1,0,0,31,31
286,-24,-12,1033,NW,142.15,0,0,25,25
287,-23,-12,1033,NW,150.2,0,0,22,22
288,-23,-12,1034,NW,160.03,0,0,22,22
289,-24,-12,1034,NW,169.86,0,0,15,15
290,-24,-12,1033,NW,178.8,0,0,16,16
291,-25,-12,1033,NW,189.98,0,0,11,11
292,-24,-13,1033,NW,198.03,0,0,11,11
293,-25,-12,1032,NW,205.18,0,0,12,12
294,-25,-12,1033,NW,215.01,0,0,11,11
295,-25,-12,1032,NW,226.19,0,0,12,12
296,-25,-12,1032,NW,235.13,0,0,27,27
297,-25,-12,1032,NW,243.18,0,0,28,28
298,-23,-11,1033,NW,252.12,0,0,34,34
299,-23,-10,1033,NW,257.93,0,0,33,33
300,-22,-9,1033,NW,263.74,0,0,36,36
301,-21,-8,1031,NW,270.89,0,0,26,26
302,-21,-6,1030,NW,278.94,0,0,49,49
303,-20,-5,1029,NW,286.99,0,0,52,52
304,-22,-5,1028,NW,294.14,0,0,47,47
305,-21,-5,1028,NW,299.06,0,0,47,47
306,-19,-7,1028,SE,1.79,0,0,39,39
307,-19,-8,1028,cv,0.45,0,0,59,59
308,-20,-9,1028,cv,1.34,0,0,76,76
309,-19,-10,1027,SE,1.79,0,0,96,96
310,-19,-13,1027,cv,0.89,0,0,95,95
311,-18,-12,1027,cv,1.78,0,0,68,68
312,-18,-13,1027,NE,0.89,0,0,65,65
313,-18,-14,1026,NE,1.78,0,0,75,75
314,-20,-15,1025,NE,2.67,0,0,257,257
315,-20,-15,1025,NW,0.89,0,0,174,174
316,-20,-16,1025,NW,1.78,0,0,164,164
317,-20,-16,1024,NW,3.57,0,0,161,161
318,-21,-17,1024,NW,6.7,0,0,137,137
319,-19,-14,1023,NW,10.72,0,0,92,92
320,-21,-17,1023,NW,13.85,0,0,64,64
321,-19,-15,1024,NW,15.64,0,0,87,87
322,-19,-14,1024,NW,18.77,0,0,87,87
323,-18,-10,1024,NW,22.79,0,0,84,84
324,-17,-9,1023,NW,24.58,0,0,95,95
325,-16,-6,1023,NW,26.37,0,0,79,79
326,-17,-5,1022,NW,28.16,0,0,75,75
327,-16,-5,1022,NW,29.95,0,0,79,79
328,-15,-4,1022,NW,33.08,0,0,86,86
329,-16,-4,1023,cv,0.89,0,0,72,72
330,-15,-5,1025,SE,1.79,0,0,89,89
331,-14,-3,1026,NW,5.81,0,0,94,94
332,-16,-3,1027,NW,11.62,0,0,69,69
333,-15,-4,1029,NW,20.56,0,0,49,49
334,-16,-5,1031,NW,24.58,0,0,33,33
335,-17,-6,1032,NE,3.13,0,0,27,27
336,-18,-6,1033,NE,8.05,0,0,20,20
337,-19,-7,1034,NE,13.86,0,0,36,36
338,-17,-8,1035,NW,5.81,0,0,37,37
339,-18,-10,1035,NW,11.62,0,0,30,30
340,-19,-10,1036,NW,14.75,0,0,18,18
341,-19,-9,1036,NW,19.67,0,0,21,21
342,-19,-9,1036,NE,7.15,0,0,13,13
343,-20,-9,1037,NE,12.96,0,0,23,23
344,-19,-9,1037,NE,18.77,0,0,26,26
345,-19,-8,1038,NE,22.79,0,0,27,27
346,-19,-8,1039,NE,28.6,0,0,30,30
347,-19,-7,1039,NE,35.75,0,0,28,28
348,-18,-6,1039,NE,41.56,0,0,26,26
349,-18,-5,1039,NE,45.58,0,0,26,26
350,-17,-4,1038,NW,1.79,0,0,31,31
351,-16,-3,1037,cv,0.89,0,0,35,35
352,-17,-3,1037,cv,1.78,0,0,36,36
353,-17,-2,1037,cv,2.23,0,0,37,37
354,-15,-5,1036,SE,0.89,0,0,64,64
355,-15,-6,1036,cv,0.89,0,0,83,83
356,-15,-6,1037,cv,1.78,0,0,91,91
357,-14,-6,1037,SE,1.79,0,0,90,90
358,-14,-8,1036,SE,3.58,0,0,102,102
359,-14,-10,1037,cv,0.89,0,0,94,94
360,-15,-11,1036,cv,1.78,0,0,87,87
361,-15,-11,1036,cv,2.67,0,0,141,141
362,-16,-13,1036,NE,0.89,0,0,211,211
363,-16,-12,1036,cv,0.89,0,0,242,242
364,-16,-13,1035,NE,0.89,0,0,271,271
365,-15,-12,1035,NE,1.78,0,0,249,249
366,-14,-10,1034,NW,1.79,0,0,200,200
367,-15,-10,1034,NW,2.68,0,0,147,147
368,-15,-11,1034,NW,4.47,0,0,114,114
369,-15,-11,1034,NW,6.26,0,0,102,102
370,-14,-9,1034,NW,8.05,0,0,108,108
371,-14,-9,1034,NW,9.84,0,0,135,135
372,-13,-6,1034,cv,0.89,0,0,120,120
373,-13,-5,1033,NW,1.79,0,0,148,148
374,-12,-4,1031,cv,0.89,0,0,127,127
375,-12,-3,1031,cv,1.78,0,0,128,128
376,-12,-3,1030,cv,2.67,0,0,140,140
377,-11,-3,1030,cv,3.56,0,0,148,148
378,-11,-4,1031,NE,0.89,0,0,150,150
379,-12,-7,1031,cv,0.89,0,0,154,154
380,-12,-7,1032,cv,1.78,0,0,197,197
381,-12,-8,1032,cv,2.23,0,0,235,235
382,-12,-9,1032,cv,3.12,0,0,261,261
383,-13,-11,1032,NW,0.89,0,0,269,269
384,-14,-11,1032,NW,2.68,0,0,266,266
385,-15,-12,1032,NW,5.81,0,0,263,263
386,-14,-11,1032,cv,0.45,0,0,241,241
387,-14,-11,1031,cv,1.34,0,0,205,205
388,-14,-12,1031,NW,1.79,0,0,160,160
389,-14,-12,1031,NW,3.58,0,0,150,150
390,-14,-10,1030,NW,6.71,0,0,148,148
391,-14,-11,1030,NW,9.84,0,0,208,208
392,-15,-10,1030,NW,11.63,0,0,209,209
393,-13,-10,1030,NW,14.76,0,0,183,183
394,-13,-8,1030,NW,17.89,0,0,161,161
395,-12,-6,1030,cv,0.45,0,0,182,182
396,-11,-5,1030,cv,1.34,0,0,230,230
397,-11,-4,1029,cv,2.23,0,0,170,170
398,-11,-3,1028,cv,3.12,0,0,172,172
399,-10,-1,1027,cv,4.01,0,0,154,154
400,-11,-1,1027,cv,4.46,0,0,166,166
401,-10,-1,1026,SE,0.89,0,0,177,177
402,-10,-3,1026,SE,1.78,0,0,191,191
403,-10,-5,1027,SE,2.67,0,0,212,212
404,-10,-6,1027,NE,0.89,0,0,250,250
405,-11,-7,1027,cv,0.45,0,0,268,268
406,-10,-7,1027,cv,0.9,0,0,317,317
407,-11,-9,1027,cv,1.35,0,0,291,291
408,-12,-9,1027,NE,0.89,0,0,313,313
409,-12,-10,1028,cv,0.89,0,0,282,282
410,-13,-11,1028,NW,3.13,0,0,282,282
411,-11,-9,1028,NW,4.92,0,0,303,303
412,-13,-10,1028,NW,6.71,0,0,349,349
413,-13,-11,1028,NW,7.6,0,0,407,407
414,-13,-11,1027,NE,1.79,0,0,361,361
415,-14,-11,1028,NW,0.89,0,0,234,234
416,-14,-11,1028,NW,4.02,0,0,149,149
417,-14,-11,1028,NW,5.81,0,0,147,147
418,-11,-6,1028,NW,9.83,0,0,184,184
419,-10,-5,1028,NW,11.62,0,0,161,161
420,-9,-3,1028,NW,13.41,0,0,137,137
421,-8,-1,1027,NW,15.2,0,0,146,146
422,-9,0,1026,NW,16.99,0,0,144,144
423,-9,1,1025,NE,1.79,0,0,154,154
424,-9,1,1025,cv,0.89,0,0,173,173
425,-8,1,1025,SE,0.89,0,0,188,188
426,-7,-1,1025,SE,2.68,0,0,203,203
427,-7,-2,1025,cv,0.89,0,0,233,233
428,-7,-3,1025,SE,0.89,0,0,408,408
429,-5,-2,1026,cv,0.89,0,0,435,435
430,-5,-1,1026,NW,1.79,0,0,403,403
431,-5,-1,1026,NW,3.58,0,0,360,360
432,-6,-1,1026,cv,0.89,0,0,402,402
433,-4,-1,1025,NW,1.79,0,0,358,358
434,-5,-1,1024,NW,4.92,0,0,383,383
435,-5,-1,1024,NW,6.71,0,0,332,332
436,-5,-1,1023,NW,8.5,0,0,274,274
437,-4,-1,1022,NW,10.29,0,0,256,256
438,-4,-1,1021,NW,11.18,0,0,302,302
439,-4,-1,1021,NW,12.07,0,0,330,330
440,-4,-1,1021,NW,13.86,0,0,367,367
441,-4,0,1021,cv,0.89,0,0,297,297
442,-4,0,1021,NW,1.79,0,0,331,331
443,-4,0,1021,cv,0.89,0,0,323,323
444,-5,1,1021,NW,1.79,0,0,339,339
445,-5,1,1020,cv,0.89,0,0,301,301
446,-4,1,1019,cv,1.34,0,0,310,310
447,-4,1,1018,NE,0.89,0,0,305,305
448,-3,2,1018,cv,0.45,0,0,313,313
449,-3,2,1018,cv,1.34,0,0,336,336
450,-2,2,1018,NE,0.89,0,0,357,357
451,-3,1,1018,cv,0.89,0,0,485,485
452,-3,2,1020,NW,1.79,0,0,426,426
453,-3,1,1020,NW,4.92,0,0,403,403
454,-3,0,1021,NW,6.71,0,0,374,374
455,-3,0,1021,NW,8.5,0,0,333,333
456,-3,1,1020,NW,11.63,0,0,343,343
457,-2,0,1021,NW,14.76,0,0,364,364
458,-2,-1,1022,NW,16.55,0,0,389,389
459,-4,-2,1022,NW,19.68,0,0,368,368
460,-2,-1,1023,NW,25.49,0,0,267,267
461,-3,1,1023,NW,28.62,0,0,71,71
462,-3,0,1024,NW,31.75,0,0,81,81
463,-5,2,1026,NW,36.67,0,0,51,51
464,-9,1,1027,NW,41.59,0,0,49,49
465,-10,0,1028,NW,48.74,0,0,44,44
466,-10,0,1030,NW,55.89,0,0,45,45
467,-11,1,1032,NW,63.04,0,0,35,35
468,-13,0,1033,NW,71.09,0,0,29,29
469,-13,0,1033,NW,78.24,0,0,27,27
470,-13,-1,1033,NE,8.05,0,0,29,29
471,-13,-1,1032,NW,7.15,0,0,16,16
472,-15,-1,1032,NE,5.81,0,0,23,23
473,-14,-1,1033,NW,5.81,0,0,28,28
474,-15,-2,1033,NW,12.96,0,0,22,22
475,-16,-3,1034,NW,21.01,0,0,11,11
476,-17,-4,1035,NW,28.16,0,0,25,25
477,-19,-3,1036,NW,37.99,0,0,16,16
478,-18,-4,1037,NW,46.93,0,0,20,20
479,-19,-4,1038,NW,55.87,0,0,20,20
480,-19,-5,1038,NW,65.7,0,0,18,18
481,-20,-6,1038,NW,75.53,0,0,18,18
482,-20,-6,1038,NW,85.36,0,0,17,17
483,-20,-7,1038,NW,95.19,0,0,17,17
484,-22,-8,1038,NW,103.24,0,0,17,17
485,-23,-8,1038,NW,111.29,0,0,15,15
486,-24,-9,1038,NW,118.44,0,0,19,19
487,-24,-9,1038,NW,128.27,0,0,16,16
488,-25,-9,1038,NW,138.1,0,0,18,18
489,-25,-8,1039,NW,147.04,0,0,18,18
490,-25,-8,1039,NW,155.98,0,0,18,18
491,-22,-7,1039,NW,160.9,0,0,26,26
492,-22,-7,1038,NE,3.13,0,0,26,26
493,-22,-5,1037,NW,4.02,0,0,25,25
494,-21,-5,1035,NE,3.13,0,0,24,24
495,-21,-4,1034,SE,1.79,0,0,15,15
496,-20,-3,1034,NE,1.79,0,0,17,17
497,-21,-2,1033,NW,4.92,0,0,15,15
498,-20,-2,1033,NW,10.73,0,0,21,21
499,-20,-2,1034,NW,15.65,0,0,40,40
500,-19,-3,1034,NW,21.46,0,0,51,51
501,-19,-3,1035,NW,25.48,0,0,45,45
502,-17,-8,1035,NE,0.89,0,0,61,61
503,-18,-9,1035,NW,1.79,0,0,72,72
504,-18,-9,1035,NW,3.58,0,0,38,38
505,-18,-6,1036,NW,7.6,0,0,35,35
506,-20,-4,1037,NW,17.43,0,0,29,29
507,-21,-5,1037,NW,27.26,0,0,26,26
508,-21,-6,1037,NW,35.31,0,0,18,18
509,-20,-7,1036,NW,42.46,0,0,15,15
510,-20,-7,1035,NW,48.27,0,0,15,15
511,-20,-7,1035,NW,54.08,0,0,22,22
512,-20,-7,1036,NW,59,0,0,21,21
513,-19,-7,1036,NW,63.92,0,0,19,19
514,-20,-5,1036,NW,67.94,0,0,22,22
515,-19,-4,1036,NW,75.09,0,0,25,25
516,-19,-4,1036,NW,84.03,0,0,22,22
517,-19,-3,1035,NW,95.21,0,0,26,26
518,-18,-3,1034,NW,105.04,0,0,32,32
519,-19,-2,1033,NW,114.87,0,0,30,30
520,-18,-2,1032,NW,124.7,0,0,32,32
521,-18,-2,1032,NW,133.64,0,0,30,30
522,-18,-2,1032,NW,139.45,0,0,32,32
523,-18,-3,1032,NW,144.37,0,0,37,37
524,-17,-5,1033,NW,149.29,0,0,49,49
525,-18,-4,1033,NW,153.31,0,0,47,47
526,-17,-4,1032,NW,159.12,0,0,39,39
527,-17,-4,1032,NW,164.04,0,0,35,35
528,-17,-7,1032,NW,168.06,0,0,48,48
529,-17,-4,1033,NW,172.08,0,0,49,49
530,-17,-8,1033,cv,0.89,0,0,24,24
531,-17,-5,1032,NW,4.92,0,0,23,23
532,-18,-6,1032,NW,8.05,0,0,20,20
533,-18,-5,1031,NW,12.97,0,0,19,19
534,-18,-6,1031,NW,16.1,0,0,16,16
